,ligne,N_dpt,Date,Type,N_ref,Nom,Organisme,Commune,Analysé,G_session,Espèce,Lignée,Sexe,Génotype,IQ
1227,06 10/03/2019 F F0619101 MILLISCHER PNM ST MARTIN VESUBIE OUI 14/11/2019 Impossible NA,6,10/03/2019,F,F0619101,MILLISCHER,PNM,ST MARTIN VESUBIE,OUI,14/11/2019,Impossible NA,,,,
1228,"06 10/03/2019 F F0619100 MILLISCHER Particulier ST MARTIN VESUBIE OUI 17/02/2020 Canis lupus Italo-alpine XX S57-40 1,00",6,10/03/2019,F,F0619100,MILLISCHER,Particulier,ST MARTIN VESUBIE,OUI,17/02/2020,Canis lupus,Italo-alpine,XX,S57-40,1
1229,"06 12/03/2019 F F0619102 KRAMMER PNM ROUBION OUI 17/10/2019 Canis lupus Italo-alpine NI NA 0,00",6,12/03/2019,F,F0619102,KRAMMER,PNM,ROUBION,OUI,17/10/2019,Canis lupus,Italo-alpine,NI,NA,0
1230,"06 12/03/2019 F F0619237 SIMÉON FDC ST AUBAN OUI 10/06/2020 Canis lupus Italo-alpine XX S69-35 0,89",6,12/03/2019,F,F0619237,SIMÉON,FDC,ST AUBAN,OUI,10/06/2020,Canis lupus,Italo-alpine,XX,S69-35,"0,89"
1231,"06 12/03/2019 F F0619238 SIMÉON FDC ST AUBAN OUI 10/06/2020 Canis lupus Italo-alpine XY S61-16 0,96",6,12/03/2019,F,F0619238,SIMÉON,FDC,ST AUBAN,OUI,10/06/2020,Canis lupus,Italo-alpine,XY,S61-16,"0,96"
1232,06 13/03/2019 F F0619105 ARCHIMBAUD PNM BELVEDERE OUI 14/11/2019 Impossible NA,6,13/03/2019,F,F0619105,ARCHIMBAUD,PNM,BELVEDERE,OUI,14/11/2019,Impossible NA,,,,
1233,06 13/03/2019 F F0619106 ARCHIMBAUD PNM BELVEDERE OUI 14/11/2019 Impossible NA,6,13/03/2019,F,F0619106,ARCHIMBAUD,PNM,BELVEDERE,OUI,14/11/2019,Impossible NA,,,,
1234,"06 13/03/2019 F F0619104 ARCHIMBAUD PNM BELVEDERE OUI 17/02/2020 Canis lupus Italo-alpine XY S68-03 0,69",6,13/03/2019,F,F0619104,ARCHIMBAUD,PNM,BELVEDERE,OUI,17/02/2020,Canis lupus,Italo-alpine,XY,S68-03,"0,69"
1235,06 13/03/2019 F F0619103 ARCHIMBAUD PNM BELVEDERE OUI 14/11/2019 Impossible NA,6,13/03/2019,F,F0619103,ARCHIMBAUD,PNM,BELVEDERE,OUI,14/11/2019,Impossible NA,,,,
1236,"06 15/03/2019 F F0619107 COMBEAUD PNM TENDE OUI 17/10/2019 Canis lupus Italo-alpine NI NA 0,07",6,15/03/2019,F,F0619107,COMBEAUD,PNM,TENDE,OUI,17/10/2019,Canis lupus,Italo-alpine,NI,NA,"0,07"
1237,"06 15/03/2019 F F0619112 MALTHIEUX PNM TENDE OUI 17/10/2019 Canis familiaris NA NI NA 0,00",6,15/03/2019,F,F0619112,MALTHIEUX,PNM,TENDE,OUI,17/10/2019,Canis familiaris,NA,NI,NA,0
1238,"06 15/03/2019 F F0619111 MALTHIEUX PNM TENDE OUI 17/10/2019 Canis familiaris NA NI NA 0,00",6,15/03/2019,F,F0619111,MALTHIEUX,PNM,TENDE,OUI,17/10/2019,Canis familiaris,NA,NI,NA,0
1239,"06 15/03/2019 F F0619110 MALTHIEUX PNM TENDE OUI 17/10/2019 Canis familiaris NA NI NA 0,00",6,15/03/2019,F,F0619110,MALTHIEUX,PNM,TENDE,OUI,17/10/2019,Canis familiaris,NA,NI,NA,0
1240,"06 15/03/2019 F F0619108 COMBEAUD PNM TENDE OUI 17/10/2019 Canis lupus Italo-alpine NI NA 0,00",6,15/03/2019,F,F0619108,COMBEAUD,PNM,TENDE,OUI,17/10/2019,Canis lupus,Italo-alpine,NI,NA,0
1241,06 15/03/2019 F F0619109 MALTHIEUX PNM TENDE OUI 17/10/2019 Impossible NA,6,15/03/2019,F,F0619109,MALTHIEUX,PNM,TENDE,OUI,17/10/2019,Impossible NA,,,,
1242,"06 17/03/2019 F F0619114 ALIE CNRS CIPIERES OUI 13/09/2020 Canis lupus Italo-alpine XY S70-071 0,98",6,17/03/2019,F,F0619114,ALIE,CNRS,CIPIERES,OUI,13/09/2020,Canis lupus,Italo-alpine,XY,S70-071,"0,98"
1243,06 17/03/2019 F F0619113 ALIE CNRS CIPIERES NON,6,17/03/2019,F,F0619113,ALIE,CNRS,CIPIERES,NON,,,,,,
1244,"06 17/03/2019 D D0619007 TCHA OFB ESCRAGNOLLES OUI 17/02/2020 Canis lupus Italo-alpine XY S68-42 1,00",6,17/03/2019,D,D0619007,TCHA,OFB,ESCRAGNOLLES,OUI,17/02/2020,Canis lupus,Italo-alpine,XY,S68-42,1
1245,"06 18/03/2019 F F0619115 MALTHIEUX PNM BREIL SUR ROYA OUI 17/10/2019 Canis lupus Italo-alpine XY S66-30 0,56",6,18/03/2019,F,F0619115,MALTHIEUX,PNM,BREIL SUR ROYA,OUI,17/10/2019,Canis lupus,Italo-alpine,XY,S66-30,"0,56"
1246,"06 18/03/2019 D D0619008 PISI OFB ESCRAGNOLLES OUI 17/02/2020 Canis lupus Italo-alpine XY S68-43 1,00",6,18/03/2019,D,D0619008,PISI,OFB,ESCRAGNOLLES,OUI,17/02/2020,Canis lupus,Italo-alpine,XY,S68-43,1
1247,"06 20/03/2019 F F0619239 SIMÉON FDC ST AUBAN OUI 10/06/2020 Canis lupus Italo-alpine NI NA 0,18",6,20/03/2019,F,F0619239,SIMÉON,FDC,ST AUBAN,OUI,10/06/2020,Canis lupus,Italo-alpine,NI,NA,"0,18"
1248,"06 26/03/2019 F F0619141 COSSU OFB ST AUBAN OUI 17/02/2020 Canis lupus Italo-alpine XY S68-05 0,84",6,26/03/2019,F,F0619141,COSSU,OFB,ST AUBAN,OUI,17/02/2020,Canis lupus,Italo-alpine,XY,S68-05,"0,84"
